25.47,39.99,0.0 ,,,,
23.47,39.92,0.0 ,,,,
21.50,39.59,0.0 ,,,,
17.78,38.15,0.0 ,,,,
16.09,37.07,0.0 ,,,,
14.56,35.78,0.0 ,,,,
13.22,34.29,0.0 ,,,,
12.09,32.64,0.0 ,,,,
11.19,30.86,0.0 ,,,,
10.53,28.97,0.0 ,,,,
10.00,25.01,0.0 ,,,,
10.13,23.01,0.0 ,,,,
10.53,21.05,0.0 ,,,,
11.18,19.16,0.0 ,,,,
12.08,17.38,0.0 ,,,,
13.21,15.73,0.0 ,,,,
14.55,14.24,0.0 ,,,,
16.07,12.95,0.0 ,,,,
19.57,11.02,0.0 ,,,,
21.48,10.42,0.0 ,,,,
23.45,10.08,0.0 ,,,,
27.44,10.20,0.0 ,,,,
29.39,10.66,0.0 ,,,,
31.26,11.37,0.0 ,,,,
31.26,11.37,-5.0 ,,,,
30.00,25.00,-5.0 ,,,,
30.00,25.00,0.0 ,,,,
40.00,25.00,0.0 ,,,,
40.00,25.00,-5.0 ,,,,
33.50,25.00,-5.0 ,,,,
33.50,25.00,0.0 ,,,,
33.50,5.00,0.0 ,,,,
